Day,PJME_MW
2002-12-16,791122.0
2002-12-17,849753.0
2002-12-18,859524.0
2002-12-19,808676.0
2002-12-20,746486.0
2002-12-21,714734.0
2002-12-22,685294.0
2002-12-23,742869.0
2002-12-24,733142.0
2002-12-25,708813.0
2002-12-26,770556.0
2002-12-27,790472.0
2002-12-28,744303.0
2002-12-29,698221.0
2002-12-30,770258.0
2002-12-31,709463.0
2003-01-01,662489.0
2003-01-02,770850.0
2003-01-03,808842.0
2003-01-04,749169.0
2003-01-05,742710.0
2003-01-06,816344.0
2003-01-07,849052.0
2003-01-08,808050.0
2003-01-09,763482.0
2003-01-10,766950.0
2003-01-11,773219.0
2003-01-12,771243.0
2003-01-13,842164.0
2003-01-14,861956.0
2003-01-15,874241.0
2003-01-16,898591.0
2003-01-17,876869.0
2003-01-18,867789.0
2003-01-19,826314.0
2003-01-20,852036.0
2003-01-21,902195.0
2003-01-22,941421.0
2003-01-23,977529.0
2003-01-24,949851.0
2003-01-25,833523.0
2003-01-26,787929.0
2003-01-27,932653.0
2003-01-28,947608.0
2003-01-29,874231.0
2003-01-30,863639.0
2003-01-31,836064.0
2003-02-01,760686.0
2003-02-02,713572.0
2003-02-03,780897.0
2003-02-04,784233.0
2003-02-05,828718.0
2003-02-06,855607.0
2003-02-07,829265.0
2003-02-08,787122.0
2003-02-09,769999.0
2003-02-10,832996.0
2003-02-11,852119.0
2003-02-12,867064.0
2003-02-13,892147.0
2003-02-14,861222.0
2003-02-15,801343.0
2003-02-16,862752.0
2003-02-17,846447.0
2003-02-18,825056.0
2003-02-19,826859.0
2003-02-20,783744.0
2003-02-21,796107.0
2003-02-22,748400.0
2003-02-23,721328.0
2003-02-24,827240.0
2003-02-25,834424.0
2003-02-26,889338.0
2003-02-27,873091.0
2003-02-28,824577.0
2003-03-01,748310.0
2003-03-02,700764.0
2003-03-03,847080.0
2003-03-04,849945.0
2003-03-05,769167.0
2003-03-06,806904.0
2003-03-07,834033.0
2003-03-08,717468.0
2003-03-09,664541.0
2003-03-10,823702.0
2003-03-11,839563.0
2003-03-12,780721.0
2003-03-13,753423.0
2003-03-14,775372.0
2003-03-15,687824.0
2003-03-16,626345.0
2003-03-17,683281.0
2003-03-18,684891.0
2003-03-19,723444.0
2003-03-20,774805.0
2003-03-21,709761.0
2003-03-22,616763.0
2003-03-23,594768.0
2003-03-24,680297.0
2003-03-25,684539.0
2003-03-26,687444.0
2003-03-27,689266.0
2003-03-28,682895.0
2003-03-29,615000.0
2003-03-30,648066.0
2003-03-31,763535.0
2003-04-01,765738.0
2003-04-02,706281.0
2003-04-03,687304.0
2003-04-04,705962.0
2003-04-05,660670.0
2003-04-06,600728.0
2003-04-07,769731.0
2003-04-08,789187.0
2003-04-09,780419.0
2003-04-10,745675.0
2003-04-11,747487.0
2003-04-12,630247.0
2003-04-13,588285.0
2003-04-14,677940.0
2003-04-15,680660.0
2003-04-16,697921.0
2003-04-17,680162.0
2003-04-18,689071.0
2003-04-19,609643.0
2003-04-20,559557.0
2003-04-21,654351.0
2003-04-22,675182.0
2003-04-23,691008.0
2003-04-24,694850.0
2003-04-25,672881.0
2003-04-26,610971.0
2003-04-27,573638.0
2003-04-28,669222.0
2003-04-29,676552.0
2003-04-30,670164.0
2003-05-01,691939.0
2003-05-02,706729.0
2003-05-03,589769.0
2003-05-04,566422.0
2003-05-05,674607.0
2003-05-06,682201.0
2003-05-07,698607.0
2003-05-08,696054.0
2003-05-09,673980.0
2003-05-10,604284.0
2003-05-11,598201.0
2003-05-12,673442.0
